ABANDONED_SHIP_HIDDEN_FLOOR_CORRIDORS	Frillish, Dragalge and Dhelmise make the submerged wreck distinct. Keep the deep-water preparation options and trace Dive access separately from first boarding the ship.
ABANDONED_SHIP_ROOMS_B1F	Mareanie and the coastal predators fit the flooded rooms; Lapras gives an attractive optional return. Room access and rod ownership, not nominal table levels, control first use.
ALTERING_CAVE	Preserve the nine legacy selector tables as explicitly conditional data, with selector0 as the default. The expanded lower caves carry the active postgame diversity; do not count every selector as a normal simultaneous roster.
ALTERING_CAVE_1F	The broad postgame cave roster provides ready alternatives for exhibitions. Lucario, Spiritomb and Blissey have actual roles; high variety here is appropriate after a long campaign.
ALTERING_CAVE_B1F	Keep Guzzlord as the exceptional deep-cave find and distinguish its Sign capture limit from repeatable ordinary species. Fishing adds routes that are not implied by the land roster.
ARTISAN_CAVE_1F	Smeargle deserves stronger visual and dialogue identity, but preserve the useful broad collection. Its13% leading slot is a conscious broad-access choice rather than a broken probability. No automatic return to a monotypic cave.
ARTISAN_CAVE_B1F	The matching upper-floor roster is acceptable collection convenience in this small postgame location. Preserve Smeargle access and improve guidance through the world chapter instead of arbitrary species churn.
ASHEN_WOODS	Fire-adapted wildlife and strong insects are convincing. Two redundant evolved birds yield space for Brute Bonnet and Bloodmoon Ursaluna; their original families retain much earlier acquisition paths.
CAVE_OF_ORIGIN_1F	Carbink, mineral Pokémon and the unusual Walking Wake slot reinforce an exceptional story site. Preserve its powerful choices and the ordinary/legendary source distinctions.
CAVE_OF_ORIGIN_DIANCIES_ROOM	The mixed supporting roster is broad rather than tightly mineral. Retain it while the explicit Diancie landmark, stone and restored Wallace exhibition establish the chamber's identity; avoid moving many useful families for cosmetic purity.
CAVE_OF_ORIGIN_ENTRANCE	The entrance provides cave residents before the deeper mineral/dragon discoveries. Keep the mix and treat story access as a separate requirement from species table levels.
CAVE_OF_ORIGIN_UNUSED_RUBY_SAPPHIRE_MAP1	Despite its legacy name, this is part of the expanded connected chamber sequence. Preserve mineral/dragon continuity and verify the actual warp route rather than excluding it by name.
CAVE_OF_ORIGIN_UNUSED_RUBY_SAPPHIRE_MAP2	The more evolved crystal/steel roster supports late team preparation. Preserve Archaludon and Goodra options and cross-reference reachable chamber progression.
CAVE_OF_ORIGIN_UNUSED_RUBY_SAPPHIRE_MAP3	Clefable, Metang and mineral residents suit the final approach to Diancie. Preserve the powerful late alternatives and the actual Diancie-room warp.
DESERT_UNDERPASS	Ditto, burrowers and reconstructed fossils make a useful secret route. Add the three-segment Dudunsparce in a redundant Espathra slot, with Flittle retaining that evolution. Preserve this unusual collection and its connection from Sandstrewn Ruins; the fossil-maniac entrance gate alone does not define earliest access.
DEWFORD_MANOR_1F	The abandoned captain's home gives early Ghost/Psychic choices without taking Duskull away from Mt.Pyre. Keep Mime Jr., Galarian Slowpoke and the broad haunted roster.
DEWFORD_MEADOW	Keep butterflies, redirection/support candidates and Pheromosa. Early power is intentional ammunition, not a reason for automatic delay; test the actual nearby battles rather than infer imbalance from rarity labels.
DEWFORD_TOWN	Old Rod Mantyke40% is a direct low-cap success. Keep Magikarp60% beside it, the shore Rock Smash set and later Surf/fishing revisits as distinct acquisition methods.
