VerdanturfMeadow: PASS, matching elevation, no event overlap, adjacent floor remains connected
SandstrewnRuins_B1F: PASS, matching elevation, no event overlap, adjacent floor remains connected
DewfordMeadow: PASS, matching elevation, no event overlap, adjacent floor remains connected
ScorchedSlab_B2F: PASS, matching elevation, no event overlap, adjacent floor remains connected
AlteringCave_1F: PASS, matching elevation, no event overlap, adjacent floor remains connected
Underwater_SeafloorCavern: PASS, matching elevation, no event overlap, adjacent floor remains connected
NewMauville_Inside: PASS, matching elevation, no event overlap, adjacent floor remains connected
DesertUnderpass: PASS, matching elevation, no event overlap, adjacent floor remains connected
MeteorFalls_B1F_1R: PASS, matching elevation, no event overlap, adjacent floor remains connected
PetalburgWoods_2: PASS, matching elevation, no event overlap, adjacent floor remains connected
ShoalCave_LowTideIceRoom: PASS, matching elevation, no event overlap, adjacent floor remains connected
MtPyre_6F: PASS, matching elevation, no event overlap, adjacent floor remains connected
AshenWoods: PASS, matching elevation, no event overlap, adjacent floor remains connected
PetalburgWoods_3: PASS, matching elevation, no event overlap, adjacent floor remains connected
Route125: PASS, matching elevation, no event overlap, adjacent floor remains connected
FieryPath: PASS, matching elevation, no event overlap, adjacent floor remains connected
MtPyre_Exterior: PASS, matching elevation, no event overlap, adjacent floor remains connected
VictoryRoad_B1F: PASS, matching elevation, no event overlap, adjacent floor remains connected
GraniteCave_B2F: PASS, matching elevation, no event overlap, adjacent floor remains connected
VictoryRoad_1F: PASS, matching elevation, no event overlap, adjacent floor remains connected
